Institution,GradRate,PellGradRate,FinAidAward,FinAidAvg,PellGrantAward,PellGrantAvg,InStatePrice,OutStatePrice,Enrollment,Urbanization
Adams State University,16,21,95,8846,54,4751,22895,33911,3314,33
Alabama A & M University,6,25,91,10464,71,4957,23057,31436,6001,12
Alabama State University,10,28,93,9011,78,5067,21482,29810,4760,12
Alcorn State University,19,48,86,13786,86,5890,23413,23413,3716,43
Angelo State University,21,29,94,6723,49,4831,19547,29507,10417,12
Appalachian State University,52,65,71,9162,26,4520,19012,33819,18811,32
Arizona State University-Downtown Phoenix,59,60,97,12606,40,4768,29163,45743,11465,11
Arizona State University-Polytechnic,42,57,93,10115,34,4948,26923,42660,4809,11
Arizona State University-Skysong,32,35,82,10093,51,4689,25806,32275,31702,12
Arizona State University-Tempe,52,62,96,12060,30,4712,27530,44110,51164,12
Arizona State University-West,57,69,95,12060,55,4964,26042,41779,4063,11
Arkansas State University-Main Campus,31,38,97,8777,41,4979,22486,28786,13930,13
Arkansas Tech University,26,32,95,6739,55,4699,18705,24129,11830,33
Auburn University,50,64,75,9634,14,4661,31282,49954,29776,13
Auburn University at Montgomery,12,27,96,5910,52,5052,19790,28910,4894,12
Augusta University,9,28,91,8161,39,4682,21254,36256,8220,12
Austin Peay State University,23,34,99,8212,57,4820,24224,39464,10463,12
Ball State University,47,53,90,9952,37,4805,24280,40448,22513,13
Bemidji State University,30,39,94,5241,31,4069,20729,20729,5195,33
Binghamton University,72,78,75,9338,27,4904,26100,40980,17351,22
Black Hills State University,14,31,91,4648,39,4407,20922,23922,4178,32
Bloomsburg University of Pennsylvania,38,49,89,6017,35,4291,24270,35750,9260,13
Bluefield State College,14,23,98,6875,67,4765,,,1379,32
Boise State University,21,40,84,10533,27,4498,21932,37248,24121,12
Bowie State University,15,36,90,8786,62,4865,22710,33299,6148,21
Bowling Green State University-Main Campus,38,44,95,7066,32,4367,24569,32105,17357,31
Bridgewater State University,36,56,93,6141,41,4435,26206,32346,11019,21
California Polytechnic State University-San Luis Obispo,48,75,64,5836,16,4576,27153,39033,22370,23
California State Polytechnic University-Pomona,21,69,79,8128,46,4870,26057,37937,26053,21
California State University Maritime Academy,48,54,73,8042,25,4797,28082,39962,1090,12
California State University-Bakersfield,19,40,93,10549,69,5056,25966,37846,10131,11
California State University-Channel Islands,24,52,81,9396,53,4900,28621,40501,7455,22
California State University-Chico,28,61,76,9216,44,4989,24420,36300,17875,13
California State University-Dominguez Hills,10,45,94,9952,74,4894,22391,34271,16219,13
California State University-East Bay,11,46,83,9244,54,4722,25110,36990,16538,12
California State University-Fresno,16,50,90,10233,66,5110,20431,32311,25325,11
California State University-Fullerton,22,65,82,8922,52,4945,27342,39222,40905,21
California State University-Long Beach,17,66,82,8876,51,4957,24066,35946,37622,11
California State University-Los Angeles,9,48,94,10252,77,5239,24846,36726,28531,11
California State University-Monterey Bay,27,59,85,8983,48,4851,23363,35243,7584,22
California State University-Northridge,14,51,87,10222,63,5136,22127,34007,41319,11
California State University-Sacramento,9,49,87,9672,58,4984,25742,37622,31255,11
California State University-San Bernardino,12,56,93,9697,67,5031,24247,36127,20692,12
California State University-San Marcos,16,53,82,9154,51,4862,25316,37196,15755,21
California State University-Stanislaus,14,60,92,9468,63,4833,20554,32434,10327,23
California University of Pennsylvania,42,45,97,6225,49,4531,26356,30842,7788,23
Cameron University,14,18,85,6750,53,4804,15891,25221,4524,13
Castleton University,41,51,96,8214,40,4486,24664,40216,2141,32
Central Connecticut State University,26,46,87,6682,40,4677,25215,37904,11880,21
Central Michigan University,28,53,95,9474,36,4551,24076,35236,23257,32
Central State University,11,25,99,6876,98,4608,18880,20730,1784,41
Central Washington University,31,50,90,7220,37,4569,22601,36708,12901,32
Chadron State College,23,39,96,6108,41,4173,20668,20698,2737,33
Charter Oak State College,,,,,,,,,1500,21
Cheyney University of Pennsylvania,7,15,94,8962,72,4783,27656,33938,755,21
Chicago State University,4,17,100,12050,79,5504,24676,31636,3101,11
Christopher Newport University,63,66,74,6078,13,4326,29680,41876,5081,12
Citadel Military College of South Carolina,63,62,88,11930,23,4698,28743,50506,3717,12
Clarion University of Pennsylvania,42,45,93,5675,45,4293,27360,32106,5225,33
Clayton  State University,10,29,94,7457,71,5156,19631,30092,7003,21
Clemson University,59,71,93,10698,15,4504,29574,50516,24387,21
Cleveland State University,24,38,90,8432,46,6462,26774,30825,16371,11
Coastal Carolina University,28,38,99,8942,36,4725,25588,40260,10663,13
College of Charleston,62,66,82,9683,26,4711,29669,48057,10863,12
College of Staten Island CUNY,23,29,82,8031,63,4830,31734,39124,13594,11
College of William and Mary,85,88,57,21792,13,4807,37386,59012,8740,23
Colorado Mesa University,18,28,93,6515,40,4628,23699,35655,9591,13
Colorado School of Mines,59,76,91,10829,15,4330,33648,52698,6209,21
Colorado State University-Fort Collins,45,65,80,8641,22,4337,25929,43437,33083,12
Colorado State University-Pueblo,18,27,96,7529,49,4610,26702,42159,6639,12
Columbus State University,14,31,92,7692,52,4672,21414,32200,8453,12
Concord University,21,34,100,6714,53,4592,20418,29498,2194,32
Coppin State University,12,19,93,8558,77,4819,21412,27560,2893,11
CUNY Bernard M Baruch College,40,68,78,9766,55,5251,31782,39172,18289,11
CUNY Brooklyn College,29,58,85,9700,64,5233,,,17803,11
CUNY City College,16,55,87,9739,67,5160,29284,36674,16001,11
CUNY Hunter College,28,57,87,9483,60,5301,22064,29454,23005,11
CUNY John Jay College of Criminal Justice,26,46,86,9203,64,5150,33871,41261,14834,11
CUNY Lehman College,24,47,90,10864,77,5352,27142,34532,14130,11
CUNY Queens College,30,53,78,9421,57,5201,28302,35692,19866,11
CUNY York College,6,28,88,9068,76,4941,,,8533,11
Dakota State University,23,34,95,3844,35,4044,21407,24337,3307,32
Dalton State College,7,20,91,5217,62,4464,15915,24337,5164,13
Delaware State University,26,34,99,10256,62,4791,23420,32456,4352,13
Delta State University,18,31,97,6546,49,4736,19543,19543,3785,33
Dickinson State University,16,28,91,4741,27,4410,17978,20650,1425,33
East Carolina University,40,59,81,8500,38,4684,22000,38277,29131,13
East Central University,20,28,85,5618,52,4644,17854,26974,3719,33
East Stroudsburg University of Pennsylvania,35,45,93,6327,45,4595,22960,34640,6742,13
East Tennessee State University,23,34,97,10213,50,5475,21306,39090,14353,13
Eastern Connecticut State University,47,51,94,8145,36,4703,27020,39709,5282,31
Eastern Illinois University,38,50,92,9641,55,4667,23631,25821,7030,32
Eastern Kentucky University,30,37,99,8628,49,4468,23094,31978,16612,32
Eastern Michigan University,17,38,98,7916,48,4731,25307,42488,20525,21
Eastern New Mexico University-Main Campus,18,30,98,6207,53,4347,18419,24194,6023,33
Eastern Oregon University,22,24,98,5349,43,4902,22433,33753,3016,33
Eastern Washington University,24,41,94,8753,43,4605,22142,38895,12607,31
Edinboro University of Pennsylvania,31,38,92,6685,44,4354,25351,29737,5574,31
Elizabeth City State University,21,42,99,11303,74,5133,14036,27180,1411,32
Emporia State University,26,39,98,6195,41,4277,19439,33012,5732,33
Fairmont State University,19,26,92,7771,46,4669,19606,27322,3886,32
Farmingdale State College,32,46,74,8057,38,4700,24168,33818,9574,21
Fayetteville State University,16,34,94,10274,76,5488,16636,28244,6226,12
Ferris State University,30,41,97,9384,47,4867,23556,30516,13798,32
Fitchburg State University,37,60,90,6975,47,4477,23981,30061,7075,22
Florida Agricultural and Mechanical University,18,49,95,8532,71,5313,22881,34821,9913,12
Florida Atlantic University,26,52,81,10143,39,6112,23359,35804,30208,13
Florida Gulf Coast University,22,44,75,5435,32,4889,20390,39434,14965,21
Florida International University,28,58,89,9973,51,5882,23688,36086,56718,21
Florida Polytechnic University,,,100,8889,31,4612,21043,21043,1456,41
Florida State University,66,78,96,8620,26,4456,21774,34904,41362,12
Fort Hays State University,21,34,98,4760,41,4309,17831,27654,15100,33
Fort Lewis College,26,39,93,11637,34,4331,26691,36843,3332,32
Fort Valley State University,9,28,98,7303,78,5154,21108,34188,2752,31
Framingham State University,41,55,94,7020,47,4541,26150,32230,5691,13
Francis Marion University,18,42,100,8948,60,4965,23242,33418,3786,23
Frostburg State University,28,53,92,7510,44,4850,21642,34990,5396,23
George Mason University,47,68,76,9304,30,4785,29226,51672,35984,21
Georgia College & State University,48,56,96,7652,18,4403,28120,46834,6952,32
Georgia Gwinnett College,4,16,85,5848,62,5100,24364,35078,12287,21
Georgia Institute of Technology-Main Campus,40,83,79,12716,13,4638,28770,49366,29376,11
Georgia Southern University,25,47,90,6854,37,4589,22860,33646,20418,32
Georgia Southwestern State University,14,24,94,7284,48,4659,20436,30897,3052,32
Georgia State University,27,54,92,9960,53,4891,26014,40873,32816,11
Governors State University,,,96,9021,70,5119,28370,37760,5185,41
Grambling State University,10,33,99,7407,86,5570,26091,35389,5191,32
Grand Valley State University,37,55,90,6734,29,4345,24244,29314,25049,21
Granite State College,7,16,84,4305,65,3776,,,2019,31
Harris-Stowe State University,1,9,99,8032,82,5219,21156,25789,1442,11
Henderson State University,21,32,84,2685,20,3537,20830,22480,3334,32
Humboldt State University,16,46,86,9478,54,4938,24721,36601,8525,33
Idaho State University,14,26,92,6489,48,4352,21111,35887,12493,13
Illinois State University,47,61,86,9572,31,4713,28929,40036,20784,22
Indiana State University,26,32,93,9163,54,4494,22402,32938,13763,13
Indiana University of Pennsylvania-Main Campus,40,49,92,6970,45,4444,27309,32461,12431,32
Indiana University-Bloomington,64,66,77,11640,19,4683,24427,48739,43710,13
Indiana University-East,25,37,95,8297,48,4598,,,3490,41
Indiana University-Kokomo,19,26,84,8325,40,4840,,,3029,13
Indiana University-Northwest,15,24,86,8469,47,4965,,,4055,13
Indiana University-Purdue University-Indianapolis,24,41,88,12224,41,4793,22550,43022,29791,11
Indiana University-South Bend,11,26,89,8147,51,4801,19655,31486,5385,12
Indiana University-Southeast,17,28,85,7408,49,4838,20529,32360,5238,21
Institute of American Indian and Alaska Native Culture and Arts Development,0,0,98,5525,65,4813,20860,20860,659,41
Iowa State University,47,67,89,7990,19,4445,20606,34442,35993,13
Jackson State University,24,40,70,9599,55,5368,23096,33789,8558,12
Jacksonville State University,18,34,93,8167,44,4729,20560,27976,8567,13
James Madison University,60,78,63,8489,15,4166,26122,42522,21836,13
Kansas State University,34,48,89,6796,21,4139,24339,39696,22795,13
Kean University,23,44,90,7510,55,4812,29261,36163,14226,21
Keene State College,51,52,98,9135,27,4213,27284,36030,3866,32
Kennesaw State University,14,40,91,6170,33,4733,25773,36755,35846,21
Kent State University at Kent,37,50,96,7696,31,4406,25514,34046,28972,21
Kentucky State University,5,16,96,8632,69,5334,19167,30621,1926,32
Kutztown University of Pennsylvania,39,47,93,4963,36,4384,27031,31019,8329,31
Lake Superior State University,35,47,97,11009,39,4607,23721,23721,1963,33
Lamar University,9,21,86,8166,52,4851,22402,32362,14506,12
Lander University,23,31,99,9514,52,4732,24500,34100,2849,32
